[194.054977,131.231873]
[118.642448,154.655960]
[123.739708,233.928116]
[116.496857,234.257797]
[213.573364,177.093735]
[139.050873,141.552460]
[155.514008,194.057495]
[190.280136,192.331207]
[91.161118,208.914673]
[205.115326,215.377563]
[188.652451,170.546356]
[232.116394,174.828979]
[82.033134,233.977921]
[255.498642,169.318192]
[247.115540,188.629883]
[268.020538,142.850281]
[187.842316,208.943512]
[171.901138,156.799423]
[237.821030,206.207123]
[139.101196,141.502930]
[251.900818,211.723343]
[187.796051,209.802017]
[97.918213,178.637848]
[115.238022,234.331451]
[248.303970,193.160751]
[118.996841,177.439774]
[133.623077,222.286331]
[119.508904,177.456909]
[91.163223,208.924942]
[245.313522,132.804962]
[236.338867,232.785294]
[218.130280,216.067688]
[172.235062,216.264557]
[115.241425,234.331345]
[215.711960,224.520279]
[150.282852,186.480606]
[204.970795,182.279129]
[95.030151,214.395279]
[236.253403,232.806137]
[185.791290,158.129608]
[136.550980,205.515564]
[117.960785,152.784744]
[118.692780,152.886185]
[120.747520,135.380798]
[236.783386,118.006157]
[130.983856,192.400436]
[204.063980,169.185776]
[98.715637,163.080215]
[246.444122,196.207230]
[106.238762,189.064804]
[226.683365,128.658386]
[91.152458,208.834488]
[178.744568,142.587646]
[149.610123,186.744110]
[230.464294,114.250412]
[159.470642,150.877640]
[187.454193,208.456024]
[118.543900,210.862854]
[113.063683,220.865707]
[113.062195,220.514389]
[103.454559,194.331329]
[193.257721,131.485825]
[91.173683,208.890976]
[215.568680,223.441711]
[214.977814,202.411606]
[186.477188,205.669739]
[98.742752,189.140228]
[176.432419,208.453781]
[185.003571,149.129486]
[245.230362,132.836380]
[232.286606,231.314438]
[220.394852,121.362946]
[213.411545,69.452339]
[247.329117,193.841873]
[228.897034,132.466629]
[127.864716,193.625198]
[162.542938,172.184692]
[215.691849,224.578598]
[118.971230,177.430786]
[251.331787,212.753326]
[127.864563,193.628403]
[132.650818,205.191345]
[157.756546,114.437576]
[270.408142,160.123184]
[254.962006,184.928192]
[228.472610,125.541794]
[222.613129,156.482651]
[232.300064,231.312622]
[82.037071,233.977402]
[110.951225,152.660095]
[232.307159,231.314224]
[164.217499,236.168518]
[145.797745,190.756409]
[82.038406,233.978378]
[128.842941,193.216766]
[206.448410,217.263016]
[235.007675,185.883408]
[150.343582,228.628418]
[141.824890,191.836700]
[82.035881,233.977951]
[111.543716,167.396561]
[255.874710,165.435623]
[190.279160,192.347565]
[268.062805,165.656998]
[232.318542,231.324753]
[189.373566,224.556168]
[150.183365,155.804092]
[234.603073,120.811531]
[120.787910,198.357758]
[140.703629,140.694458]
[118.972038,177.431976]
[157.833496,114.377457]
[127.856728,193.636444]
[170.702515,234.407455]
[232.283020,231.331482]
[117.090385,233.964066]
[152.852356,150.621246]
[118.557327,210.894791]
[149.980637,187.808960]
[162.567337,172.180649]
[100.834328,196.549545]
[190.279663,192.348083]
[141.632980,206.043716]
[161.707458,171.793945]
[226.422516,221.978577]
[171.937256,156.745270]
[100.340561,231.378067]
[123.918808,152.597778]
[224.458099,68.194839]
[232.343994,231.316925]
[193.412460,131.478821]
[118.540276,210.863541]
[164.533081,110.214684]
[128.959045,193.646957]
[108.852905,140.617477]
[171.904266,156.798645]
[117.933418,208.968307]
[129.318695,222.285919]
[190.282608,192.343948]
[208.523941,191.696808]
[262.518005,135.770447]
[217.078583,151.412567]
[245.303940,132.923767]
[117.823486,209.272202]
[189.649063,211.507538]
[251.368454,212.725082]
[132.068512,150.367676]
[115.148590,140.669464]
[82.441231,233.311859]
[116.497498,234.265533]
[97.990372,178.642395]
[133.313354,200.211914]
[157.769470,201.176392]
[228.683197,220.341797]
[235.936447,214.464508]
[200.979614,231.289413]
[174.001617,219.407120]
[265.083191,159.304794]
[251.357742,212.733170]
[217.672882,174.781418]
[131.321960,215.827820]
[256.578430,145.922180]
[150.326172,228.625534]
[127.862900,193.627609]
[128.793884,129.481445]
[255.634445,168.432220]
[157.881638,114.327858]
[245.288879,132.796570]
[97.660423,179.600906]
[117.948456,208.954285]
[234.932602,185.889954]
[226.614548,136.802551]
[118.116379,209.879822]
[190.270554,192.340378]
[150.350739,228.611252]
[256.890869,182.566727]
[88.350075,186.265244]
[171.903275,156.799042]
[150.316177,228.610489]
[233.676178,205.421570]
[173.667786,233.678970]
[153.929184,66.052902]
[147.238297,196.748581]
[192.948730,192.848618]
[150.343460,228.627365]
[251.363937,212.733246]
