[269.679169,354.940948]
[558.753357,401.337280]
[407.409729,212.840240]
[115.215370,231.957870]
[464.000000,277.000000]
[557.321533,381.019165]
[373.593231,204.682388]
[443.495483,262.696014]
[346.000000,273.000000]
[371.220703,148.844498]
[202.232513,237.002716]
[314.792755,155.210373]
[88.742653,353.263702]
[378.434937,284.708252]
[261.710541,402.304993]
[399.366302,223.924973]
[189.460526,292.264221]
[367.000000,339.000000]
[140.602631,232.384903]
[592.000000,378.000000]
[314.776611,274.686890]
[464.000000,417.000000]
[450.000000,233.000000]
[341.000000,351.000000]
[316.623230,291.764160]
[226.110886,366.649139]
[150.912735,215.271790]
[717.502197,412.233521]
[484.079590,229.963943]
[232.271881,399.123993]
[311.993073,344.403717]
[226.765778,349.176544]
[405.380280,418.275299]
[114.505669,248.860687]
[313.265320,322.462189]
[29.428139,415.424377]
[285.000000,304.000000]
[587.948181,390.394714]
[109.000000,366.000000]
[587.943787,390.389771]
[485.604401,228.156403]
[171.446472,227.135422]
[286.116852,226.226212]
[121.912704,353.578796]
[96.000000,360.000000]
[171.445923,227.133575]
[53.650688,416.649933]
[254.067490,213.133469]
[316.623383,291.767181]
[427.756744,383.260468]
[76.000000,361.000000]
[296.000000,327.000000]
[308.564941,283.301666]
[88.730232,353.261932]
[119.420654,236.461929]
[203.474640,295.947632]
[460.791046,232.625031]
[600.000000,378.000000]
[407.417267,212.833511]
[268.925201,228.517883]
[397.878723,202.462967]
[346.972687,321.760742]
[232.271973,399.123840]
[230.766159,246.760376]
[121.893707,401.589478]
[348.847382,367.407257]
[574.000000,405.000000]
[310.669159,357.956268]
[472.000000,246.000000]
[113.486107,384.671387]
[316.621826,291.766327]
[25.000000,402.000000]
[126.593369,374.339172]
[254.067398,213.135742]
[181.000000,214.000000]
[327.000000,303.000000]
[494.000000,265.000000]
[316.624390,291.766663]
[449.000000,226.000000]
[113.000000,380.000000]
[455.483795,384.351562]
[167.000000,254.000000]
[296.000000,177.000000]
